nameLong	nameShort
enityId	enityId
entityName	entityName
Muscle_Skeletal	Muscle
Adipose_Subcutaneous	Adipose
Whole_Blood	Whole
Artery_Coronary	Artery
Esophagus_Mucosa	Esophagus
Brain_Nucleus_accumbens_basal_ganglia	Brain
Muscle_Skeletal	Muscle
Heart_Left_Ventricle	Heart
Brain_Spinal_cord_cervical_c_1	Brain
Brain_Caudate_basal_ganglia	Brain
Brain_Caudate_basal_ganglia	Brain
Lung	Lung
Stomach	Stomach
Nerve_Tibial	Nerve
Thyroid	Thyroid
Muscle_Skeletal	Muscle
Esophagus_Mucosa	Esophagus
Esophagus_Muscularis	Esophagus
Uterus	Uterus
Whole_Blood	Whole
Ovary	Ovary
Brain_Nucleus_accumbens_basal_ganglia	Brain
Pancreas	Pancreas
Brain_Anterior_cingulate_cortex_BA24	Brain
Kidney_Cortex	Kidney
Skin_Sun_Exposed_Lower_leg	Skin
Whole_Blood	Whole
Esophagus_Muscularis	Esophagus
Colon_Transverse	Colon
Adrenal_Gland	Adrenal
Ovary	Ovary
Brain_Cerebellum	Brain
Prostate	Prostate
Nerve_Tibial	Nerve
Esophagus_Muscularis	Esophagus
Muscle_Skeletal	Muscle
Brain_Substantia_nigra	Brain
Whole_Blood	Whole
Artery_Aorta	Artery
Testis	Testis
Thyroid	Thyroid
Skin_Sun_Exposed_Lower_leg	Skin
Lung	Lung
Stomach	Stomach
Thyroid	Thyroid
Brain_Nucleus_accumbens_basal_ganglia	Brain
Adrenal_Gland	Adrenal
Heart_Left_Ventricle	Heart
Skin_Sun_Exposed_Lower_leg	Skin
Brain_Hypothalamus	Brain
Testis	Testis
Esophagus_Mucosa	Esophagus
Nerve_Tibial	Nerve
Brain_Substantia_nigra	Brain
Whole_Blood	Whole
Lung	Lung
Artery_Aorta	Artery
Artery_Tibial	Artery
Brain_Cerebellar_Hemisphere	Brain
Muscle_Skeletal	Muscle
Whole_Blood	Whole
Muscle_Skeletal	Muscle
Nerve_Tibial	Nerve
Heart_Left_Ventricle	Heart
Lung	Lung
Brain_Anterior_cingulate_cortex_BA24	Brain
Brain_Hypothalamus	Brain
Artery_Aorta	Artery
Testis	Testis
Heart_Left_Ventricle	Heart
Brain_Frontal_Cortex_BA9	Brain
Esophagus_Muscularis	Esophagus
Brain_Hypothalamus	Brain
Brain_Spinal_cord_cervical_c_1	Brain
Adrenal_Gland	Adrenal
Adipose_Subcutaneous	Adipose
Vagina	Vagina
Artery_Tibial	Artery
Uterus	Uterus
Prostate	Prostate
Whole_Blood	Whole
Brain_Substantia_nigra	Brain
