# The following table is formatted as tab separated values. 
#GeneId	GeneName	BioType
ENSG00000000457	SCYL3	protein_coding
ENSG00000000460	C1orf112	protein_coding
ENSG00000000938	FGR	protein_coding
ENSG00000000971	CFH	protein_coding
ENSG00000001460	C1orf201	protein_coding
ENSG00000001461	NIPAL3	protein_coding
ENSG00000004455	AK2	protein_coding
ENSG00000004487	KDM1A	protein_coding
ENSG00000006555	TTC22	protein_coding
ENSG00000007341	ST7L	protein_coding
ENSG00000007908	SELE	protein_coding
ENSG00000007923	DNAJC11	protein_coding
ENSG00000007933	FMO3	protein_coding
ENSG00000007968	E2F2	protein_coding
ENSG00000008118	CAMK1G	protein_coding
ENSG00000008128	CDK11A	protein_coding
ENSG00000008130	NADK	protein_coding
ENSG00000009307	CSDE1	protein_coding
ENSG00000009709	PAX7	protein_coding
ENSG00000009724	MASP2	protein_coding
ENSG00000009780	FAM76A	protein_coding
ENSG00000009790	TRAF3IP3	protein_coding
ENSG00000010072	C1orf124	protein_coding
ENSG00000010165	METTL13	protein_coding
ENSG00000010803	SCMH1	protein_coding
ENSG00000010932	FMO1	protein_coding
ENSG00000011007	TCEB3	protein_coding
ENSG00000011009	LYPLA2	protein_coding
ENSG00000011021	CLCN6	protein_coding
ENSG00000014914	MTMR11	protein_coding
ENSG00000016490	CLCA1	protein_coding
ENSG00000016602	CLCA4	protein_coding
ENSG00000018625	ATP1A2	protein_coding
ENSG00000020129	NCDN	protein_coding
ENSG00000020633	RUNX3	protein_coding
ENSG00000021852	C8B	protein_coding
ENSG00000023572	GLRX2	protein_coding
ENSG00000023902	PLEKHO1	protein_coding
ENSG00000023909	GCLM	protein_coding
ENSG00000024526	DEPDC1	protein_coding
ENSG00000025800	KPNA6	protein_coding
ENSG00000026751	SLAMF7	protein_coding
ENSG00000027644	INSRR	protein_coding
ENSG00000027869	SH2D2A	protein_coding
ENSG00000028137	TNFRSF1B	protein_coding
ENSG00000031698	SARS	protein_coding
ENSG00000033122	LRRC7	protein_coding
ENSG00000034971	MYOC	protein_coding
ENSG00000035687	ADSS	protein_coding
ENSG00000036549	ZZZ3	protein_coding
ENSG00000037637	FBXO42	protein_coding
ENSG00000040487	PQLC2	protein_coding
ENSG00000041988	THAP3	protein_coding
ENSG00000042781	USH2A	protein_coding
ENSG00000043514	TRIT1	protein_coding
ENSG00000044012	GUCA2B	protein_coding
ENSG00000047410	TPR	protein_coding
ENSG00000048707	VPS13D	protein_coding
ENSG00000049089	COL9A2	protein_coding
ENSG00000049239	H6PD	protein_coding
ENSG00000049245	VAMP3	protein_coding
ENSG00000049246	PER3	protein_coding
ENSG00000049247	UTS2	protein_coding
ENSG00000049249	TNFRSF9	protein_coding
ENSG00000050628	PTGER3	protein_coding
ENSG00000052723	SIKE1	protein_coding
ENSG00000053371	AKR7A2	protein_coding
ENSG00000053372	MRTO4	protein_coding
ENSG00000054116	TRAPPC3	protein_coding
ENSG00000054118	THRAP3	protein_coding
ENSG00000054267	ARID4B	protein_coding
ENSG00000054277	OPN3	protein_coding
ENSG00000054282	SDCCAG8	protein_coding
ENSG00000054392	HHAT	protein_coding
ENSG00000054523	KIF1B	protein_coding
ENSG00000055070	C1orf144	protein_coding
ENSG00000055732	MCOLN3	protein_coding
ENSG00000057252	SOAT1	protein_coding
ENSG00000057468	MSH4	protein_coding
ENSG00000057757	PITHD1	protein_coding
ENSG00000058085	LAMC2	protein_coding
ENSG00000058453	CROCC	protein_coding
ENSG00000058668	ATP2B4	protein_coding
ENSG00000058673	ZC3H11A	protein_coding
ENSG00000058799	YIPF1	protein_coding
ENSG00000058804	TMEM48	protein_coding
ENSG00000059588	TARBP1	protein_coding
ENSG00000060642	PIGV	protein_coding
ENSG00000060656	PTPRU	protein_coding
ENSG00000060688	SNRNP40	protein_coding
ENSG00000060718	COL11A1	protein_coding
ENSG00000064703	DDX20	protein_coding
ENSG00000064886	CHI3L2	protein_coding
ENSG00000065135	GNAI3	protein_coding
ENSG00000065183	WDR3	protein_coding
ENSG00000065243	PKN2	protein_coding
ENSG00000065526	SPEN	protein_coding
ENSG00000065600	TMEM206	protein_coding
ENSG00000065978	YBX1	protein_coding
ENSG00000066027	PPP2R5A	protein_coding
ENSG00000066056	TIE1	protein_coding
ENSG00000066135	KDM4A	protein_coding
ENSG00000066136	NFYC	protein_coding
ENSG00000066185	ZMYND12	protein_coding
ENSG00000066279	ASPM	protein_coding
ENSG00000066294	CD84	protein_coding
ENSG00000066322	ELOVL1	protein_coding
ENSG00000066557	LRRC40	protein_coding
ENSG00000067208	EVI5	protein_coding
ENSG00000067334	DNTTIP2	protein_coding
ENSG00000067533	RRP15	protein_coding
ENSG00000067606	PRKCZ	protein_coding
ENSG00000067704	IARS2	protein_coding
ENSG00000069248	NUP133	protein_coding
ENSG00000069275	NUCKS1	protein_coding
ENSG00000069424	KCNAB2	protein_coding
ENSG00000069702	TGFBR3	protein_coding
ENSG00000069712	KIAA1107	protein_coding
ENSG00000069812	HES2	protein_coding
ENSG00000070759	TESK2	protein_coding
ENSG00000070785	EIF2B3	protein_coding
ENSG00000070831	CDC42	protein_coding
ENSG00000070886	EPHA8	protein_coding
ENSG00000072694	FCGR2B	protein_coding
ENSG00000073754	CD5L	protein_coding
ENSG00000073756	PTGS2	protein_coding
ENSG00000074800	ENO1	protein_coding
ENSG00000074964	ARHGEF10L	protein_coding
ENSG00000075151	EIF4G3	protein_coding
ENSG00000075391	RASAL2	protein_coding
ENSG00000075945	KIFAP3	protein_coding
ENSG00000076258	FMO4	protein_coding
ENSG00000076321	KLHL20	protein_coding
ENSG00000076356	PLXNA2	protein_coding
ENSG00000076864	RAP1GAP	protein_coding
ENSG00000077152	UBE2T	protein_coding
ENSG00000077157	PPP1R12B	protein_coding
ENSG00000077254	USP33	protein_coding
ENSG00000077522	ACTN2	protein_coding
ENSG00000077549	CAPZB	protein_coding
ENSG00000077585	GPR137B	protein_coding
ENSG00000078369	GNB1	protein_coding
ENSG00000078618	NRD1	protein_coding
ENSG00000078808	SDF4	protein_coding
ENSG00000078900	TP73	protein_coding
ENSG00000079277	MKNK1	protein_coding
ENSG00000079335	CDC14A	protein_coding
ENSG00000079739	PGM1	protein_coding
ENSG00000080910	CFHR2	protein_coding
ENSG00000080947	CROCCP3	pseudogene
ENSG00000081019	RSBN1	protein_coding
ENSG00000081026	MAGI3	protein_coding
ENSG00000081237	PTPRC	protein_coding
ENSG00000081248	CACNA1S	protein_coding
ENSG00000081277	PKP1	protein_coding
ENSG00000081692	JMJD4	protein_coding
ENSG00000081721	DUSP12	protein_coding
ENSG00000081870	HSPB11	protein_coding
ENSG00000081985	IL12RB2	protein_coding
ENSG00000082482	KCNK2	protein_coding
ENSG00000082497	SERTAD4	protein_coding
ENSG00000082512	TRAF5	protein_coding
